"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=felis&taxon_reso=species&limit=100"
"Access Time","Fri 2017-02-03 21:56:14 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","felis"
"","idreso","species"
"","timerule","major"
"","taxon_status","all"
"","limit","100"
"Elapsed Time","0.00716"
"Records Found","78"
"Records Returned","78"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"184431","occ","5442","","18076","Lynx rexroadensis","species","47823","recombined as","Felis rexroadensis","species","46527","Late Hemphillian","","10.3","4.9","3585"
"186892","occ","6128","","18359","Lynx cf. rexroadensis","species","47823","recombined as","Felis rexroadensis","species","46527","Late Hemphillian","","10.3","4.9","6294"
"188048","occ","6535","","18573","Lynx rexroadensis","species","47823","recombined as","Felis rexroadensis","species","46527","Late Hemphillian","","10.3","4.9","2374"
"188070","occ","6541","","18577","Lynx rexroadensis","species","47823","recombined as","Felis rexroadensis","species","46527","Late Hemphillian","","10.3","4.9","6294"
"193443","occ","8514","","19703","Lynx cf. rexroadensis","species","47823","recombined as","Felis rexroadensis","species","46527","Piacenzian","","3.6","2.588","6294"
"193461","occ","8517","","19705","Lynx rexroadensis","species","47823","recombined as","Felis rexroadensis","species","46527","Blancan","","4.9","1.8","6294"
"194043","occ","8675","","19875","Lynx rexroadensis","species","47823","recombined as","Felis rexroadensis","species","46527","Blancan","","4.9","1.8","6294"
"194174","occ","8734","","19913","Puma lacustris","species","51266","recombined as","Felis lacustris","species","46520","Blancan","","4.9","1.8","6294"
"194394","occ","8807","","19935","Lynx rexroadensis","species","47823","recombined as","Felis rexroadensis","species","46527","Blancan","","4.9","1.8","3585"
"194419","occ","8813","","19936","Lynx rexroadensis","species","47823","recombined as","Felis rexroadensis","species","46527","Blancan","","4.9","1.8","6294"
"194486","occ","8830","","19940","Lynx rexroadensis ?","species","47823","recombined as","Felis rexroadensis","species","46527","Blancan","","4.9","1.8","6294"
"194985","occ","8949","","20023","Puma cf. lacustris","species","51266","recombined as","Felis lacustris","species","46520","Blancan","","4.9","1.8","6294"
"195031","occ","8957","","20031","Puma cf. lacustris","species","51266","recombined as","Felis lacustris","species","46520","Blancan","","4.9","1.8","6294"
"195070","occ","8967","","20033","Puma lacustris","species","51266","recombined as","Felis lacustris","species","46520","Blancan","","4.9","1.8","3585"
"195226","occ","8994","","20060","Lynx rexroadensis","species","47823","recombined as","Felis rexroadensis","species","46527","Blancan","","4.9","1.8","3585"
"195271","occ","9001","","20062","Puma lacustris","species","51266","recombined as","Felis lacustris","species","46520","Blancan","","4.9","1.8","2625"
"195632","occ","9107","","20118","Puma lacustris","species","51266","recombined as","Felis lacustris","species","46520","Blancan","","4.9","1.8","6294"
"195691","occ","9124","","20120","Puma lacustris","species","51266","recombined as","Felis lacustris","species","46520","Blancan","","4.9","1.8","6294"
"195743","occ","9137","","20122","Puma lacustris","species","51266","recombined as","Felis lacustris","species","46520","Blancan","","4.9","1.8","6294"
"213116","occ","","","21690","Felis libyca","species","224043","","Felis libyca","species","224043","Holocene","","0.0117","0","4792"
"213256","occ","","","21693","Felis libyca","species","224043","","Felis libyca","species","224043","Holocene","","0.0117","0","4805"
"213609","occ","","","21856","Felis silvestris","species","224042","","Felis silvestris","species","224042","Pleistocene","Holocene","2.588","0","5211"
"213636","occ","","","21857","Felis silvestris","species","224042","","Felis silvestris","species","224042","Pleistocene","Holocene","2.588","0","5212"
"213663","occ","","","21859","Felis silvestris","species","224042","","Felis silvestris","species","224042","Pleistocene","Holocene","2.588","0","5212"
"213881","occ","","","21899","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","","2.588","0.0117","5209"
"213959","occ","","","21909","Felis libyca","species","224043","","Felis libyca","species","224043","Holocene","","0.0117","0","5214"
"213967","occ","","","21911","Felis libyca","species","224043","","Felis libyca","species","224043","Holocene","","0.0117","0","5213"
"217724","occ","","","22222","Felis obscura","species","199989","","Felis obscura","species","199989","Zanclean","","5.333","3.6","5423"
"218768","occ","","","22340","Felis libyca","species","224043","","Felis libyca","species","224043","Late Pliocene","","3.6","2.588","4932"
"220442","occ","","","21871","Felis silvestris","species","224042","","Felis silvestris","species","224042","Holocene","","0.0117","0","5220"
"220504","occ","","","21883","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","Holocene","2.588","0","5221"
"220589","occ","","","21896","Felis libyca","species","224043","","Felis libyca","species","224043","Holocene","","0.0117","0","5227"
"220633","occ","","","21902","Felis silvestris","species","224042","","Felis silvestris","species","224042","Holocene","","0.0117","0","5230"
"220710","occ","","","21916","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","","2.588","0.0117","5235"
"220782","occ","","","21930","Felis libyca","species","224043","","Felis libyca","species","224043","Holocene","","0.0117","0","5240"
"220804","occ","","","21931","Felis libyca","species","224043","","Felis libyca","species","224043","Pleistocene","","2.588","0.0117","5241"
"220831","occ","","","21940","Felis libyca","species","224043","","Felis libyca","species","224043","Holocene","","0.0117","0","5214"
